"","carat","cut","color","clarity","depth","table","price","x","y","z"
"15674",1.01,"Very Good","F","VS2",58.8,59,6288,6.55,6.59,3.86
"7707",1.04,"Premium","G","SI2",60.9,58,4277,6.58,6.52,3.99
"46319",0.3,"Very Good","E","SI1",61.8,60,526,4.23,4.28,2.63
"15739",1.01,"Ideal","G","VS2",62,57,6295,6.4,6.44,3.98
"19359",0.27,"Ideal","D","VVS1",62.2,56,622,4.12,4.15,2.57
"16159",1.55,"Premium","H","SI2",58,60,6458,7.61,7.58,4.41
"203",0.7,"Premium","E","SI1",60.5,58,2777,5.77,5.74,3.48
"33064",0.32,"Ideal","H","IF",61.2,56,814,4.4,4.42,2.7
"53613",0.3,"Very Good","D","SI1",62.2,58,552,4.28,4.31,2.67
"15315",1.32,"Good","J","VS1",62.6,62,6147,6.92,7.01,4.36
"49302",0.32,"Very Good","G","SI1",62,58.5,540,4.36,4.41,2.72
"7252",1.01,"Premium","F","SI2",62.7,56,4197,6.4,6.35,4
"8729",0.27,"Ideal","E","VVS1",62,56,586,4.16,4.19,2.59
"41797",0.5,"Ideal","E","SI1",60.6,57,1250,5.19,5.14,3.13
"12987",1,"Very Good","E","SI1",63.2,57,5396,6.39,6.36,4.03
"3704",1,"Ideal","E","SI2",62.9,56,3450,6.32,6.3,3.97
"17243",1,"Premium","F","VS2",60.7,58,6899,6.45,6.36,3.89
"34064",0.36,"Ideal","D","SI1",62.7,57,851,4.59,4.54,2.86
"24461",1.7,"Good","H","VS2",62.5,59,12723,7.48,7.58,4.71
"11740",1.22,"Very Good","I","SI2",62.9,56,5072,6.79,6.84,4.29
"5535",0.9,"Very Good","F","SI1",61.7,60,3854,6.19,6.22,3.83
"18944",1.21,"Very Good","G","VS2",62,58,7787,6.73,6.82,4.2
"16069",1.2,"Premium","H","VS2",62.8,58,6416,6.75,6.7,4.22
"12312",1.2,"Very Good","H","SI2",63.5,57,5221,6.67,6.71,4.25
"50167",0.54,"Ideal","F","VVS2",61.4,56,2218,5.27,5.29,3.24
"53748",0.7,"Very Good","D","SI1",61.1,61,2724,5.67,5.76,3.49
"27479",2.05,"Very Good","H","VS2",61.8,60,18152,8.14,8.19,5.05
"27020",1.5,"Very Good","D","VS2",62.4,57,17153,7.2,7.25,4.51
"38666",0.33,"Ideal","G","VVS1",62.3,55,1040,4.44,4.42,2.76
"45860",0.7,"Very Good","G","SI2",63.4,57,1715,5.62,5.58,3.55
"8730",0.27,"Good","E","VVS1",63.9,57,586,4.07,4.1,2.61
"37247",0.3,"Ideal","G","VVS1",61.9,55,976,4.32,4.34,2.68
"6673",1.08,"Premium","J","SI1",61,60,4098,6.57,6.62,4.02
"23559",2.01,"Very Good","J","SI1",63.4,57,11566,7.97,7.89,5.03
"34284",0.23,"Very Good","F","VVS2",58.1,63,468,4.04,4.08,2.36
"24349",2.02,"Good","F","SI2",57.1,60,12615,8.31,8.25,4.73
"327",0.53,"Ideal","F","IF",61.9,54,2802,5.22,5.25,3.24
"7303",1.2,"Premium","D","SI2",60.2,60,4203,6.94,6.81,4.14
"44972",0.32,"Ideal","H","VS2",61.2,56,523,4.42,4.44,2.71
"39233",0.38,"Ideal","D","VS1",62.5,56,1067,4.64,4.67,2.91
"50930",0.71,"Ideal","I","SI1",62.3,53,2319,5.69,5.82,3.56
"44825",0.39,"Ideal","G","IF",60.1,57,1624,4.74,4.77,2.85
"27196",2.01,"Good","I","VS2",65,57,17497,7.85,7.99,5.15
"41412",0.47,"Very Good","F","VS2",59.6,58.1,1226,5.07,5.11,3.03
"31315",0.32,"Ideal","E","VS1",61.7,56,758,4.39,4.42,2.72
"17273",1.61,"Very Good","G","SI2",63.4,55,6915,7.47,7.35,4.7
"48040",0.79,"Premium","J","SI1",58.8,62,1924,6.03,6.01,3.54
"42463",0.5,"Very Good","E","SI1",60.7,61,1316,5.09,5.12,3.1
"25114",2.32,"Good","J","SI1",60.3,61,13654,8.56,8.52,5.15
"16405",0.63,"Ideal","D","IF",62.5,55,6549,5.47,5.5,3.43
"2765",0.82,"Ideal","F","SI1",62.6,56,3251,5.95,5.99,3.74
"28338",0.33,"Premium","G","VS1",61.3,58,666,4.42,4.45,2.72
"21272",1.2,"Ideal","D","VS2",61.4,55,9424,6.78,6.87,4.19
"41823",0.5,"Ideal","D","SI2",62.3,54,1250,5.11,5.06,3.17
"32727",0.31,"Premium","F","VS2",62.3,59,802,4.33,4.3,2.69
"26040",0.32,"Ideal","F","VS2",61.3,56,645,4.41,4.43,2.71
"15847",1,"Very Good","F","VS2",62.2,55,6340,6.39,6.44,3.99
"5575",0.94,"Very Good","D","SI2",59,59,3862,6.34,6.41,3.76
"49091",0.71,"Very Good","J","VS1",63.3,57,2062,5.59,5.69,3.57
"30065",0.3,"Ideal","D","VS1",62,57,720,4.27,4.31,2.66
"18337",1.11,"Ideal","E","VS2",62.2,56,7459,6.66,6.59,4.12
"1126",0.72,"Very Good","G","VS1",60.5,57,2919,5.8,5.83,3.52
"2325",1.08,"Ideal","F","I1",61.8,56,3168,6.64,6.62,4.1
"11876",1.07,"Ideal","H","VS2",61.8,56,5108,6.52,6.55,4.04
"6079",1.09,"Premium","I","SI1",61.9,58,3968,6.65,6.58,4.1
"40386",0.42,"Ideal","D","VVS2",62,55,1132,4.81,4.84,2.99
